"x"
"Best value iPhone X 256GFast service and best value !!!  Switched from a 5s to a iPhone X with lots of memory. SIM card fit and start up software was simple. Backup your old phone on iCloud and keep it close to your new phone. Software uses Bluetooth and WiFi to do the rest. Did it all myself without tech support. Now I can run lots of apps and take pictures without fear of filling up my phone. Yes it is much larger than a 5s but it fits in my pocket. I love it.Read full review...Verified purchase:  Yes | Condition: new | Sold by: solutinter"
"It's a REAL beautiful, lovely little iPhone...It's a REAL beautiful, lovely little iPhone, absolutely, no question!But is it WORTH the totally OBSCENE amount of money that Apple is asking (new and pre-owned, both)?Absolutely not. By no stretch of the imagination is this smartphone THAT much more superior to other smartphones.My wife wanted only this particular phone, so we bought it for her (\"Happy Wife = a Happy Life\").  But it is, in all honesty, ridiculously overpriced and over-hyped. In my honest opinion.Best of luck to you with your decision...Read full review...Verified purchase:  Yes | Condition: pre-owned | Sold by: littleseouls"
"Beautiful phoneI’m extremely pleased with this. Truly the best iPhone yet. I love the battery life, the cameras, the new gestures, the operative system, almost everything! There are some things that haven’t been addressed yet, like the compatibility of some apps with the new screen, or the absence of multitasking, but overall it’s a very smooth experience. I do not like the price tag though. If you can get a deal, you might be able to shave about $150 from the full retail price. Absolutely recommended.Read full review...Verified purchase:  Yes | Condition: pre-owned | Sold by: candoman13"
"Overall a great PhoneI bought the I Phone X out of the box. It had some barley noticeable imperfections on the screen. It was easy to set up and has a great display. The only thing is that the battery life is only 84% of when the phone was new. I would have expected a phone only a few years old to have greater battery capacity. Overall a great PhoneRead full review...Verified purchase:  Yes | Condition: pre-owned | Sold by: buyspry"
"IPhone X- love it.I love this phone. I went form a 6 to an X and what a great product. The face recognition feature is amazing ( even in the dark). The size is perfect and the processor is very fast. The delivery was faster than expected too.Very happy.Read full review...Verified purchase:  Yes | Condition: pre-owned | Sold by: bidallies"
"The New iPhone XI was skeptical at first but the longer I have it, the better it gets. Facial ID set up in less than 30 seconds. The phone is blinding fast. Apple somehow figured out how to increase volume across the board so that is much better than my 7+. Battery life is better, too. After getting used to not having a control button, which didn’t take long at all, navigation is a snap. All in all, this is a phone that I can hold onto for a while - can’t imagine what’s coming next but I’ll be enjoying the X for months to come. I highly recommend the iPhone X.Read full review...Verified purchase:  Yes | Condition: new | Sold by: theronkeller"
"Worth the waitI had the iPhone 6s Plus before this bad boy. Although that phone was awesome, I'm glad I upgraded to the X. Went from a 64gb storage to 256gb. Happy to have purchased  a year after the release, as I got it heavily discounted on cyber Monday. Camera takes fast and clear photos, battery life is decent, and face ID is better than I thought it would be. The jury is still out on True Tone display but getting used to leaving that feature on, as it actually does help with reducing eye strain. I bought this phone refurbished in overall good condition. The back is made out of glass and was scratched a bit, so I bought a carbon fiber decal cutout, now looks like new.Read full review...Verified purchase:  Yes | Condition: refurbished | Sold by: mywit"
"IPhone X reviewI love the navigation finally got rid of the annoying single point of failure home button battery life did not improveVerified purchase:  Yes | Condition: new | Sold by: keval11"
"CPO iPhone XPhone works as intended; had to get AT&T to unlock it however (easy, they have a website just for this).Overall, I am satisfied but wish battery life was a little better - adequate so far.Verified purchase:  Yes | Condition: pre-owned | Sold by: mywit"
"Great Buy, Brand Spankin NewI am not sure what a small form factor is but this phone is basically like brand new. There were scratches but they aren’t noticeable especially with a phone case and screen protector on. Awesome for the value!Read full review...Verified purchase:  Yes | Condition: pre-owned | Sold by: bidallies"
"Cannot hear on this phoneI am not sure what to do- the phone’s volume is terrible. We bought two, and the phone’s speakers just can NOT be heard by either me or my husband.  We both can hear SOOO much better out of our iPhone 6. I am slightly hearing impaired, but even my husband, who hears well, has trouble hearing out of this phone, and it has no audio output jack to plug it into our (old-Bluetooth less) car or our portable speaker, so that it can be heard. Talking on the phone, or listening to a show or radio is a total exercise in frustration on this phone- I am sorely disappointed  :(.Read full review...Verified purchase:  Yes | Condition: new | Sold by: wireless_zone"
